county,date,vaccines_started,vaccines_completed
Brown ,2021-01-11,25,1
Brown ,2021-01-12,223,21
Brown ,2021-01-13,46,20
Brown ,2021-01-14,45,2
Brown ,2021-01-15,57,1
Brown ,2021-01-16,5,2
Brown ,2021-01-17,7,0
Brown ,2021-01-18,15,3
Brown ,2021-01-19,37,4
Brown ,2021-01-20,39,26
Brown ,2021-01-21,171,23
Brown ,2021-01-22,78,2
Brown ,2021-01-23,476,54
Brown ,2021-01-24,2,2
Brown ,2021-01-25,48,62
Brown ,2021-01-26,141,58
Brown ,2021-01-27,19,123
Brown ,2021-01-28,151,26
Brown ,2021-01-29,437,89
Brown ,2021-01-30,29,1
Brown ,2021-01-31,2,0
Brown ,2021-02-01,49,18
Brown ,2021-02-02,160,206
Brown ,2021-02-03,28,50
Brown ,2021-02-04,123,41
Brown ,2021-02-05,76,75
Brown ,2021-02-06,291,12
Brown ,2021-02-07,5,3
Brown ,2021-02-08,47,35
Brown ,2021-02-09,123,45
Brown ,2021-02-10,37,29
Brown ,2021-02-11,84,34
Brown ,2021-02-12,352,42
Brown ,2021-02-13,77,418
Brown ,2021-02-14,3,2
Brown ,2021-02-15,22,14
Brown ,2021-02-16,10,5
Brown ,2021-02-17,40,54
Brown ,2021-02-18,66,79
Brown ,2021-02-19,6,114
Brown ,2021-02-20,19,327
Brown ,2021-02-21,0,3
Brown ,2021-02-22,14,47
Brown ,2021-02-23,149,80
Brown ,2021-02-24,64,33
Brown ,2021-02-25,59,22
Brown ,2021-02-26,100,51
Brown ,2021-02-27,28,22
Brown ,2021-02-28,5,5
Brown ,2021-03-01,19,38
Brown ,2021-03-02,37,122
Brown ,2021-03-03,109,37
Brown ,2021-03-04,124,158
Brown ,2021-03-05,80,32
Brown ,2021-03-06,19,52
Butler,2020-12-14,3,0
Butler,2020-12-15,25,0
Butler,2020-12-16,35,0
Butler,2020-12-17,44,0
Butler,2020-12-18,19,0
Butler,2020-12-19,1,0
Butler,2020-12-20,2,0
Butler,2020-12-21,151,0
Butler,2020-12-22,224,0
Butler,2020-12-23,348,0
Butler,2020-12-24,274,0
Butler,2020-12-25,22,0
Butler,2020-12-26,105,0
Butler,2020-12-27,273,0
Butler,2020-12-28,691,0
Butler,2020-12-29,774,0
Butler,2020-12-30,809,0
Butler,2020-12-31,392,0
Butler,2021-01-01,4,1
Butler,2021-01-02,43,0
Butler,2021-01-03,44,0
Butler,2021-01-04,372,5
Butler,2021-01-05,380,24
Butler,2021-01-06,821,36
Butler,2021-01-07,837,47
Butler,2021-01-08,659,18
Butler,2021-01-09,327,1
Butler,2021-01-10,176,3
Butler,2021-01-11,513,125
Butler,2021-01-12,572,139
Butler,2021-01-13,1137,24
Butler,2021-01-14,706,14
Butler,2021-01-15,964,4
Butler,2021-01-16,399,20
Butler,2021-01-17,254,62
Butler,2021-01-18,244,231
Butler,2021-01-19,528,260
Butler,2021-01-20,1442,428
Butler,2021-01-21,1160,296
Butler,2021-01-22,1238,46
Butler,2021-01-23,628,82
Butler,2021-01-24,292,97
Butler,2021-01-25,494,405
Butler,2021-01-26,607,548
Butler,2021-01-27,1348,652
Butler,2021-01-28,1319,759
Butler,2021-01-29,1453,295
Butler,2021-01-30,1075,241
Butler,2021-01-31,486,122
Butler,2021-02-01,766,295
Butler,2021-02-02,936,462
Butler,2021-02-03,1293,451
Butler,2021-02-04,2231,673
Butler,2021-02-05,1986,624
Butler,2021-02-06,821,448
Butler,2021-02-07,443,240
Butler,2021-02-08,696,425
Butler,2021-02-09,1025,751
Butler,2021-02-10,1015,1030
Butler,2021-02-11,1179,1233
Butler,2021-02-12,1885,717
Butler,2021-02-13,856,585
Butler,2021-02-14,189,102
Butler,2021-02-15,266,283
Butler,2021-02-16,216,256
Butler,2021-02-17,672,875
Butler,2021-02-18,518,1591
Butler,2021-02-19,992,1123
Butler,2021-02-20,237,876
Butler,2021-02-21,201,387
Butler,2021-02-22,172,876
Butler,2021-02-23,442,823
Butler,2021-02-24,960,2401
Butler,2021-02-25,968,2443
Butler,2021-02-26,1121,2430
Butler,2021-02-27,1018,1052
Butler,2021-02-28,244,369
Butler,2021-03-01,703,654
Butler,2021-03-02,789,687
Butler,2021-03-03,1429,837
Butler,2021-03-04,1192,1118
Butler,2021-03-05,621,769
Butler,2021-03-06,736,602
Carroll,2020-12-14,0,0
Carroll,2020-12-15,0,0
Carroll,2020-12-16,4,0
Carroll,2020-12-17,2,0
Carroll,2020-12-18,6,0
Carroll,2020-12-19,0,0
Carroll,2020-12-20,0,0
Carroll,2020-12-21,3,0
Carroll,2020-12-22,5,0
Carroll,2020-12-23,21,0
Carroll,2020-12-24,11,0
Carroll,2020-12-25,0,0
Carroll,2020-12-26,4,0
Carroll,2020-12-27,8,0
Carroll,2020-12-28,35,0
Carroll,2020-12-29,52,0
Carroll,2020-12-30,99,0
Carroll,2020-12-31,23,0
Carroll,2021-01-01,0,0
Carroll,2021-01-02,7,0
Carroll,2021-01-03,4,0
Carroll,2021-01-04,142,0
Carroll,2021-01-05,105,0
Carroll,2021-01-06,75,6
Carroll,2021-01-07,28,2
Carroll,2021-01-08,45,3
Carroll,2021-01-09,7,0
Carroll,2021-01-10,1,0
Carroll,2021-01-11,8,6
Carroll,2021-01-12,72,4
Carroll,2021-01-13,21,10
Carroll,2021-01-14,11,1
Carroll,2021-01-15,9,0
Carroll,2021-01-16,6,6
Carroll,2021-01-17,6,0
Carroll,2021-01-18,2,5
Carroll,2021-01-19,4,6
Carroll,2021-01-20,206,50
Carroll,2021-01-21,81,9
Carroll,2021-01-22,54,11
Carroll,2021-01-23,24,4
Carroll,2021-01-24,13,0
Carroll,2021-01-25,45,58
Carroll,2021-01-26,253,57
Carroll,2021-01-27,62,29
Carroll,2021-01-28,55,17
Carroll,2021-01-29,53,19
Carroll,2021-01-30,24,4
Carroll,2021-01-31,16,2
Carroll,2021-02-01,49,51
Carroll,2021-02-02,47,47
Carroll,2021-02-03,76,84
Carroll,2021-02-04,277,48
Carroll,2021-02-05,51,92
Carroll,2021-02-06,17,10
Carroll,2021-02-07,15,11
Carroll,2021-02-08,43,41
Carroll,2021-02-09,313,19
Carroll,2021-02-10,46,39
Carroll,2021-02-11,41,69
Carroll,2021-02-12,39,26
Carroll,2021-02-13,13,13
Carroll,2021-02-14,3,7
Carroll,2021-02-15,5,15
Carroll,2021-02-16,24,12
Carroll,2021-02-17,108,196
Carroll,2021-02-18,17,31
Carroll,2021-02-19,162,52
Carroll,2021-02-20,50,18
Carroll,2021-02-21,1,15
Carroll,2021-02-22,25,24
Carroll,2021-02-23,70,156
Carroll,2021-02-24,42,32
Carroll,2021-02-25,416,36
Carroll,2021-02-26,30,48
Carroll,2021-02-27,62,12
Carroll,2021-02-28,19,11
Carroll,2021-03-01,31,26
Carroll,2021-03-02,103,238
Carroll,2021-03-03,56,36
Carroll,2021-03-04,309,22
Carroll,2021-03-05,49,49
Carroll,2021-03-06,22,9
Champaign,2020-12-14,0,0
Champaign,2020-12-15,2,0
Champaign,2020-12-16,14,0
Champaign,2020-12-17,12,0
Champaign,2020-12-18,8,0
Champaign,2020-12-19,3,0
Champaign,2020-12-20,1,0
Champaign,2020-12-21,16,0
Champaign,2020-12-22,92,0
Champaign,2020-12-23,73,0
Champaign,2020-12-24,4,0
Champaign,2020-12-25,0,0
Champaign,2020-12-26,8,0
Champaign,2020-12-27,1,0
Champaign,2020-12-28,16,0
Champaign,2020-12-29,66,0
Champaign,2020-12-30,137,0
Champaign,2020-12-31,13,0
Champaign,2021-01-01,0,0
Champaign,2021-01-02,5,0
Champaign,2021-01-03,2,0
Champaign,2021-01-04,30,0
Champaign,2021-01-05,15,3
Champaign,2021-01-06,131,13
Champaign,2021-01-07,55,9
Champaign,2021-01-08,26,11
Champaign,2021-01-09,5,3
Champaign,2021-01-10,13,1
Champaign,2021-01-11,88,14
Champaign,2021-01-12,60,43
Champaign,2021-01-13,157,2
Champaign,2021-01-14,59,2
Champaign,2021-01-15,246,0
Champaign,2021-01-16,5,4
Champaign,2021-01-17,1,1
Champaign,2021-01-18,6,6
Champaign,2021-01-19,18,7
Champaign,2021-01-20,40,128
