date,state_abbreviation,state_name,state_population,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_avg,new_doses_administered_7_day_avg,percent_doses_administered,percent_doses_administered_7_day_avg
2021-03-25,OH,Ohio,11689100,6190705,4679419,332880,97256,145267.14,107280.43,76,74
2021-03-25,WV,West Virginia,1792147,1007155,793552,14300,15611,18225.71,14027.71,79,77
2021-03-24,KY,Kentucky,4467673,2228035,1838590,13240,24804,40778.57,41575.29,83,102
2021-03-24,OH,Ohio,11689100,5857825,4582163,29720,82349,118632.86,102743.86,78,87
2021-03-24,WV,West Virginia,1792147,992855,777941,100,8583,16582.86,12613.14,78,76
2021-03-23,KY,Kentucky,4467673,2214795,1813786,142110,16181,59535.71,40184.57,82,67
2021-03-23,OH,Ohio,11689100,5828105,4499814,287310,52794,154167.14,97213.86,77,63
2021-03-23,WV,West Virginia,1792147,992755,769358,53240,4455,24112.86,11896.71,77,49
2021-03-22,KY,Kentucky,4467673,2072685,1797605,0,34860,39234.29,42958.71,87,109
2021-03-22,OH,Ohio,11689100,5540795,4447020,0,82507,113122.86,102124.71,80,90
2021-03-22,WV,West Virginia,1792147,939515,764903,0,1284,16507.14,11509.57,81,70
2021-03-21,KY,Kentucky,4467673,2072685,1762745,49870,94620,43152.86,51652.86,85,120
2021-03-21,OH,Ohio,11689100,5540795,4364513,124630,240021,132387.14,124353.86,79,94
2021-03-21,WV,West Virginia,1792147,939515,763619,53240,31186,22955.71,15969.14,81,70
2021-03-20,KY,Kentucky,4467673,2022815,1668125,0,0,32110.00,24461.57,82,76
2021-03-20,OH,Ohio,11689100,5416165,4124492,0,0,95318.57,56049.29,76,59
2021-03-20,WV,West Virginia,1792147,886275,732433,0,0,8901.43,6871.00,83,77
2021-03-19,KY,Kentucky,4467673,2022815,1668125,22770,48608,36701.43,44436.71,82,121
2021-03-19,OH,Ohio,11689100,5416165,4124492,62210,105858,118092.86,104771.57,76,89
2021-03-19,WV,West Virginia,1792147,886275,732433,6500,22663,15350.00,15183.43,83,99
2021-03-18,KY,Kentucky,4467673,2000045,1619517,46890,37212,41524.29,42958.43,81,103
2021-03-18,OH,Ohio,11689100,5353955,4018634,180120,90178,129868.57,100307.71,75,77
2021-03-18,WV,West Virginia,1792147,879775,709770,200,14412,14421.43,14093.86,81,98
2021-03-17,KY,Kentucky,4467673,1953155,1582305,10570,34742,37197.14,41208.29,81,111
2021-03-17,OH,Ohio,11689100,5173835,3928456,146440,65500,120347.14,96103.00,76,80
